date,variant,omicron,lineage,omicron_time
2020-11-27,B.1.177 (European),Other,B.1.177,Other
2020-10-05,Other,Other,B.1.160,Other
2020-09-16,B.1.177 (European),Other,B.1.177,Other
2020-04-27,B.1,Other,B.1,Other
2020-05-23,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-04-22,B.1,Other,B.1,Other
2020-07-17,B.1.177 (European),Other,B.1.177,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-12-16,B.1.177 (European),Other,B.1.177,Other
2020-12-31,B.1.177 (European),Other,B.1.177,Other
2020-12-31,Other,Other,AA.1,Other
2020-12-30,B.1.177 (European),Other,B.1.177,Other
2020-04-04,B.1,Other,B.1,Other
2020-04-25,B.1,Other,B.1,Other
2020-08-24,B.1.177 (European),Other,B.1.177,Other
2020-08-24,B.1.177 (European),Other,B.1.177,Other
2020-12-07,B.1.177 (European),Other,B.1.177,Other
2020-07-28,Other,Other,B.1.600,Other
2020-04-09,B.1,Other,B.1,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-07-03,Other,Other,B.1.1.406,Other
2020-03-20,B.1,Other,B.1,Other
2020-09-28,Other,Other,B.1.1.406,Other
2020-10-22,B.1.177 (European),Other,B.1.177,Other
2020-03-09,B.1,Other,B.1,Other
2020-08-12,B.1.177 (European),Other,B.1.177,Other
2020-11-30,B.1.177 (European),Other,B.1.177,Other
2020-03-28,B.1,Other,B.1,Other
2020-05-21,B.1,Other,B.1.1,Other
2020-08-17,Other,Other,B.1.600,Other
2020-04-08,B.1,Other,B.1,Other
2020-04-27,B.1,Other,B.1,Other
2020-11-20,B.1.177 (European),Other,B.1.177,Other
2020-11-04,B.1.177 (European),Other,B.1.177,Other
2020-11-04,B.1.177 (European),Other,B.1.177,Other
2020-11-10,B.1.177 (European),Other,B.1.177,Other
2020-11-10,Other,Other,B.1.177.43,Other
2020-11-18,B.1.177 (European),Other,B.1.177,Other
2020-11-18,B.1.177 (European),Other,B.1.177,Other
2020-11-27,B.1.177 (European),Other,B.1.177,Other
2020-11-24,B.1.177 (European),Other,B.1.177,Other
2020-11-09,B.1.177 (European),Other,B.1.177,Other
2020-11-04,Other,Other,B.1.177.32,Other
2020-11-20,B.1.177 (European),Other,B.1.177,Other
2020-11-26,B.1.177 (European),Other,B.1.177,Other
2020-11-23,B.1.177 (European),Other,B.1.177,Other
2020-11-07,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-03-13,B.1,Other,B.1,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-03-25,B.1,Other,B.1,Other
2020-07-20,B.1,Other,B.1,Other
2020-08-21,B.1.177 (European),Other,B.1.177,Other
2020-04-22,B.1,Other,B.1.1,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-11-30,B.1.177 (European),Other,B.1.177,Other
2020-04-22,Other,Other,B.1.566,Other
2020-05-30,B.1,Other,B.1,Other
2020-12-27,B.1.177 (European),Other,B.1.177,Other
2020-12-28,Other,Other,AA.1,Other
2020-12-30,B.1.177 (European),Other,B.1.177,Other
2020-12-05,B.1.177 (European),Other,B.1.177,Other
2020-12-31,B.1.177 (European),Other,B.1.177,Other
2020-12-02,Other,Other,B.1.160,Other
2020-12-02,B.1.177 (European),Other,B.1.177,Other
2020-11-13,Other,Other,B.1.177.33,Other
2020-04-01,B.1,Other,B.1,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-03-27,B.1,Other,B.1,Other
2020-08-24,B.1.177 (European),Other,B.1.177,Other
2020-11-05,Other,Other,B.1.177.32,Other
2020-07-20,Other,Other,B.1.1.406,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-23,B.1,Other,B.1,Other
2020-04-05,B.1,Other,B.1,Other
2020-03-27,B.1,Other,B.1,Other
2020-08-01,B.1.177 (European),Other,B.1.177,Other
2020-05-27,B.1,Other,B.1,Other
2020-11-07,B.1.177 (European),Other,B.1.177,Other
2020-10-30,Other,Other,AA.1,Other
2020-08-25,B.1.177 (European),Other,B.1.177,Other
2020-06-25,Other,Other,B.1.1.1,Other
2020-08-31,B.1.177 (European),Other,B.1.177,Other
2020-03-17,B.1,Other,B.1,Other
2020-12-11,B.1.177 (European),Other,B.1.177,Other
2020-04-06,B.1,Other,B.1,Other
2020-11-02,B.1.177 (European),Other,B.1.177,Other
2020-08-25,B.1.177 (European),Other,B.1.177,Other
2020-08-03,B.1.177 (European),Other,B.1.177,Other
2020-08-19,Other,Other,B.1.416,Other
2020-08-25,Other,Other,B.1.600,Other
2020-12-11,B.1,Other,B.1.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-08-31,Other,Other,B.1.1.269,Other
2020-06-11,B.1,Other,B.1.1,Other
2020-12-16,B.1.177 (European),Other,B.1.177,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-07-29,B.1.177 (European),Other,B.1.177,Other
2020-05-18,B.1,Other,B.1.1,Other
2020-12-30,B.1.177 (European),Other,B.1.177,Other
2020-11-05,Other,Other,B.1.131,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-04-21,B.1,Other,B.1,Other
2020-08-31,B.1.177 (European),Other,B.1.177,Other
2020-12-16,B.1.177 (European),Other,B.1.177,Other
2020-09-15,B.1.177 (European),Other,B.1.177,Other
2020-11-26,B.1.177 (European),Other,B.1.177,Other
2020-12-03,B.1.177 (European),Other,B.1.177,Other
2020-06-01,B.1,Other,B.1.1,Other
2020-03-21,B.1,Other,B.1,Other
2020-11-01,B.1.177 (European),Other,B.1.177,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-09-17,B.1.177 (European),Other,B.1.177,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-11-28,B.1.177 (European),Other,B.1.177,Other
2020-04-20,B.1,Other,B.1,Other
2020-12-04,B.1.177 (European),Other,B.1.177,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-10-24,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-12-09,B.1.177 (European),Other,B.1.177,Other
2020-03-22,B.1,Other,B.1,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-12-23,B.1.177 (European),Other,B.1.177,Other
2020-07-21,Other,Other,B.1.600,Other
2020-03-26,B.1,Other,B.1,Other
2020-07-21,Other,Other,B.1.1.406,Other
2020-04-20,B.1,Other,B.1,Other
2020-09-14,Other,Other,B.1.1.269,Other
2020-03-15,B.1,Other,B.1,Other
2020-03-29,B.1,Other,B.1,Other
2020-04-07,B.1,Other,B.1.1,Other
2020-09-14,B.1.177 (European),Other,B.1.177,Other
2020-03-24,B.1,Other,B.1.1,Other
2020-04-27,B.1,Other,B.1,Other
2020-05-04,B.1,Other,B.1,Other
2020-10-15,B.1,Other,B.1,Other
2020-09-21,B.1.177 (European),Other,B.1.177,Other
2020-05-20,B.1,Other,B.1,Other
2020-12-26,Other,Other,AA.1,Other
2020-12-19,B.1.177 (European),Other,B.1.177,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-04-22,B.1,Other,B.1,Other
2020-04-13,B.1,Other,B.1,Other
2020-04-16,B.1,Other,B.1,Other
2020-04-13,B.1,Other,B.1,Other
2020-04-13,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-04-11,B.1,Other,B.1,Other
2020-04-27,B.1,Other,B.1,Other
2020-03-22,B.1,Other,B.1.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-08-18,B.1.177 (European),Other,B.1.177,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-05-15,B.1,Other,B.1,Other
2020-06-03,Other,Other,B,Other
2020-09-07,Other,Other,B.1.177.29,Other
2020-08-17,B.1.177 (European),Other,B.1.177,Other
2020-09-28,B.1.177 (European),Other,B.1.177,Other
2020-04-30,B.1,Other,B.1,Other
2020-06-02,B.1,Other,B.1,Other
2020-10-28,Other,Other,B.1.1.39,Other
2020-12-04,B.1.177 (European),Other,B.1.177,Other
2020-11-28,Other,Other,B.1.1.232,Other
2020-11-11,B.1.177 (European),Other,B.1.177,Other
2020-03-17,Other,Other,B,Other
2020-11-17,Other,Other,B,Other
2020-06-10,Other,Other,B.1.1.1,Other
2020-07-20,Other,Other,B.1.1.406,Other
2020-12-30,Other,Other,B,Other
2020-11-12,Other,Other,B.1.221,Other
2020-03-16,B.1,Other,B.1,Other
